,run_id,task_id,acc,FN,FP,count_hal,hallucination
10,2,3,0.9063336306868867,26,24,5,"['org:opened', 'org:cities_of_residence', 'org:cities_of_residence', 'org:opened', 'org:stateorprovinces_of_residence']"
11,2,4,0.932609937178755,10,4,0,[]
12,2,5,0.9020480854853072,8,4,0,[]
13,2,6,0.8994107744107744,6,4,2,"['org:religious_affiliation', 'org:religious_affiliation']"
14,2,7,0.8758516275548827,18,2,10,"['org:cities_of_residence', 'org:cities_of_residence', 'org:cities_of_residence', 'org:origin', 'org:origin', 'org:origin', 'org:origin', 'org:origin', 'org:religious_affiliation', 'org:religious_affiliation']"
15,2,8,0.8733834586466166,8,2,9,"['org:cities_of_residence', 'org:cities_of_residence', 'org:cities_of_residence', 'org:cities_of_residence', 'org:origin', 'org:origin', 'org:schools_attended', 'org:origin', 'org:religious_affiliation']"
16,3,1,0.9736842105263158,0,0,0,[]
17,3,2,0.9054242002781642,0,38,2,"['per:country_of_headquarters', 'per:country_of_headquarters']"
18,3,3,0.9320137693631669,0,20,0,[]
19,3,4,0.8695652173913043,12,2,0,[]
20,3,5,0.9,8,4,2,"['per:country_of_residence', 'per:country_of_residence']"
21,3,6,0.8837015423092955,16,4,2,"['per:country_of_residence', 'org:origin']"
22,3,7,0.8933929141398022,10,10,3,"['per:country_of_headquarters', 'per:country_of_residence', 'org:origin']"
23,3,8,0.9040601503759399,14,8,3,"['per:country_of_headquarters', 'per:country_of_residence', 'org:origin']"
24,4,1,0.9879310344827587,4,10,0,[]
25,4,2,0.9715568862275449,0,12,6,"['per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees']"
26,4,3,0.9513481828839391,4,12,1,['per:alternate_names']
27,4,4,0.9067873303167421,0,8,5,"['per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'org:countries_of_residence']"
28,4,5,0.8735716918540362,0,46,25,"['per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'dissolved', 'dissolved']"
29,4,6,0.8885112168592794,0,2,3,"['per:top_members/employees', 'dissolved', 'dissolved']"
30,4,7,0.8707271597265382,0,2,15,"['per:top_members/employees', 'dissolved', 'org:org:alternate_names', 'per:alternate_names', 'org:countries_of_employees/members', 'per:countries_of_employees/members', 'per:countries_of_employees/members', 'org:countries_of_employees/members', 'per:countries_of_employees/members', 'per:countries_of_employees/members', 'per:countries_of_employees/members', 'org:countries_of_residence', 'per:countries_of_employees/members', 'per:countries_of_employees/members', 'per:city_of_headquarters']"
31,4,8,0.872781954887218,2,16,6,"['org:org:alternate_names', 'org:countries_of_residence', 'org:countries_of_residence', 'per:countries_of_employees/members', 'org:countries_of_residence', 'org:country_of_residence']"
32,5,1,0.8724137931034482,2,0,0,[]
33,5,2,0.9653121902874133,0,0,1,['per:shareholders']
34,5,3,0.8899653979238754,24,4,0,[]
35,5,4,0.8672069825436409,16,0,74,"['per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country', 'per:country_of_residence', 'per:country:residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'org:religious_affiliation', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country:country', 'per:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country:political/religious_affiliation', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country:country:country', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country_of_residence']"
36,5,5,0.876265466816648,10,2,108,"['per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country:country:of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country_of_residence', 'per:country:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:religious_affiliation', 'per:country:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country:of_residence', 'per:country:country_of_residence', 'per:country:of_residence', 'per:country:country:political/religious_affiliation', 'per:country:of_residence', 'per:country:country:of_residence', 'per:country:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country:of_residence', 'per:country:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country:of_residence', 'per:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country:of_residence', 'per:country_of_residence', 'org:religious_affiliation', 'per:country:country:of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country:of_residence', 'per:country:country:political/religious_affiliation', 'per:country:country_of_residence', 'per:country:country:country:of_residence', 'per:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country:of_residence', 'per:country_of_residence', 'per:country:country:of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country:country:of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:of_residence', 'per:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country:country:of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:of_residence', 'per:country:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country:country:of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country:country:of_residence', 'per:country:country:of_residence', 'per:country:country:country:country:political/religious_affiliation', 'per:country_of_residence', 'per:country_of_residence', 'per:country:of_residence', 'per:country:country:of_residence', 'per:country_of_residence', 'per:country:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country:country_of_residence', 'per:country:country:political/religious_affiliation', 'per:country:country:of_residence', 'per:country:country_of_residence']"
37,5,6,0.8799380325329202,18,0,0,[]
38,5,7,0.8737166324435318,18,0,2,"['per:country_of_residence', 'org:2007']"
39,5,8,0.8781954887218045,14,0,5,"['per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:religious_affiliation', 'per:subsidiaries']"
